I0317 10:52:37.326142     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326143     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326144     893 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326146     893 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326146     893 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326147     893 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326148     893 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326150     893 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326151     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326152     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326153     893 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326154     893 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326155     893 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326156     893 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326157     893 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326158     893 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326159     893 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326160     893 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326161     893 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326162     893 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326163     893 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326164     893 libfabric_common.cpp:81] Found device - domain: vethd20ac36d, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326165     893 libfabric_common.cpp:81] Found device - domain: vethf79f544c, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326166     893 libfabric_common.cpp:81] Found device - domain: veth9b2b176c, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326167     893 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326168     893 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 10:52:37.326169     893 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 10:52:37.326170     893 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326171     893 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326172     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326173     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326175     893 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326176     893 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326177     893 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326178     893 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326179     893 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326180     893 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326181     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 10:52:37.326182     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
