I0317 11:12:08.202983     274 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202985     274 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202986     274 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202987     274 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202989     274 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202990     274 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202992     274 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202993     274 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202995     274 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202996     274 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202997     274 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.202998     274 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203000     274 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203001     274 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203002     274 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203004     274 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203006     274 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203007     274 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203008     274 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203010     274 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203011     274 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203012     274 libfabric_common.cpp:81] Found device - domain: vethc924435f, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203014     274 libfabric_common.cpp:81] Found device - domain: vethe29b4b2e, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203015     274 libfabric_common.cpp:81] Found device - domain: veth4e77d7d4, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203016     274 libfabric_common.cpp:81] Found device - domain: cni0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203017     274 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 11:12:08.203019     274 libfabric_common.cpp:81] Found device - domain: lo, provider=tcp;ofi_rxm, ep_type=3, caps=0x8000000013f06
I0317 11:12:08.203020     274 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203022     274 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203023     274 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203025     274 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203027     274 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203028     274 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203030     274 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203031     274 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203032     274 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203033     274 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203034     274 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203036     274 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
I0317 11:12:08.203037     274 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp;ofi_rxm, ep_type=3, caps=0x18000000013f06
